cupc,citem,mprice,sku,cuom,istdpk,pos18
"4598817","DOLLS-TOY-DOLLS-RGI-3BBI-BCH58","20.00","459881.00","PC","3","DOLLS-BCH58"
"4598848","OTHERS TOYS-RGI-3DPIY6","249.00","459884.00","PC","3","OTHERS-459884"
"4598862","DOLLS-TOY-DOLLS-RGI-3BBI-T7439","99.00","459886.00","PC","6","DOLLS-T7439"
"4598909","235-81CW MUSCLE SET FLYING","20.00","459890.00","PC","12","CW MUSCLE SET"
"4598992","STRAPPY-INFT-WEARS-CCE-GIRL-1T","10.00","459899.00","PC","6","STRAPPY-PRINTED"
"4599029","STRAPPY-INFT-WEARS-CCE-GIRL-2T","150.00","459902.00","PC","6","STRAPPY-PRINTED"
"4599067","STRAPPY-INFT-WEARS-CCE-GIRL-3T","10.00","459906.00","PC","6","STRAPPY-PRINTED"
"4599081","SHORTS SET-INFT-WEARS-CCE-G-1T","10.00","459908.00","PC","6","SHORTS SET-GRL-3-1"
"4599104","SHORTS SET-INFT-WEARS-CCE-G-2T","150.00","459910.00","PC","6","SHORTS SET-GRL-3-1"
"4599111","SHORTS SET-INFT-WEARS-CCE-G-3T","150.00","459911.00","PC","6","SHORTS SET-GRL-3-1"
"4599135","SHORTS-INFT-WEARS-CCE-GIRL-1T","150.00","459913.00","PC","6","SHORTS-3-1-PRINTED"
"4599166","SHORTS-INFT-WEARS-CCE-GIRL-2T","10.00","459916.00","PC","6","SHORTS-3-1-PRINTED"
"4599234","SHORTS-INFT-WEARS-CCE-GIRL-3T","150.00","459923.00","PC","6","SHORTS-3-1-PRINTED"
"4599258","PAJAMA-INFT-WEARS-CCE-GIRL-1T","10.00","459925.00","PC","6","PAJAMA-3-1PRINTED"
"4599272","PAJAMA-INFT-WEARS-CCE-GIRL-2T","10.00","459927.00","PC","6","PAJAMA-3-1PRINTED"
"4599289","TWR VEST BLACK","20.00","459928.00","PC","3","TWR VEST BLACK"
"4599296","PAJAMA-INFT-WEARS-CCE-GIRL-3T","10.00","459929.00","PC","6","PAJAMA-3-1PRINTED"
"4599302","SANDO-INFT-WEARS-CCE-BOY3/1-1T","10.00","459930.00","PC","6","SANDO-BOY-3-1-1T"
"4599340","SANDO-INFT-WEARS-CCE-BOY3/1-2T","10.00","459934.00","PC","6","SANDO-BOY-3-1-2T"
"4599364","SANDO-INFT-WEARS-CCE-BOY3/1-3T","150.00","459936.00","PC","6","SANDO-BOY-3-1-3T"
"4599395","SHORTS SET-INFT-WEARS-CCE-B-1T","10.00","459939.00","PC","6","SHORTS SET-BOY-3-1"
"4599401","LWR BLAZER WHITE","30.00","459940.00","PC","3","LWR BLAZER WHITE"
"4599425","SHORTS SET-INFT-WEARS-CCE-B-2T","150.00","459942.00","PC","6","SHORTS SET-BOY-3-1"
"4599432","OTHERS INFT COTT B PRNTD 3T","150.00","459943.00","PC","6","INF BOY 3IN1"
"4599449","TSHIRT-INFT-WEARS-CCE-BOY-1T","10.00","459944.00","PC","6","TSHIRT-3-1PRINTED"
